date,Abra,Agusan_del_Norte,Agusan_del_Sur
2008-01-01,0.0,74.7300287781968,59.05972790817282
2008-01-02,0.0,891.3816034972903,419.2034795499212
2008-01-03,0.4108254147414938,399.4027597781698,364.32433322266303
2008-01-04,0.0,93.34993421230392,148.5934551731062
2008-01-05,9.880438955298619,14.789212618891902,32.027201837706336
2008-01-06,0.9925222267503263,147.13199277734572,56.90948721506064
2008-01-07,0.00438387084566603,54.740483551628515,79.78847042300666
2008-01-08,0.0,49.70950953738963,2.7651859089504836
2008-01-09,0.0,243.13668943865028,161.59900738296827
2008-01-10,0.0,204.12244146897388,138.53902174993297
2008-01-11,0.0,162.90420183928117,49.39636632175948
2008-01-12,29.660477652228128,110.04211648933502,166.96769102734106
2008-01-13,67.5532370648426,164.69136192110687,153.47964476480897
2008-01-14,0.944430918987196,42.25812458897768,20.67046561618122
2008-01-15,0.007456987834046663,105.13151073832756,89.50653848634843
2008-01-16,1.0407485591351462,132.05154717486835,75.8704067923325
2008-01-17,3.3320205987723344,54.49052157797832,36.93140443485752
2008-01-18,5.021055351691512,57.44674323764244,21.277270742990442
2008-01-19,8.333259422932903,76.6465151338238,130.22484572750523
2008-01-20,0.031297107595852046,208.43041063391644,278.2714092027133
2008-01-21,0.8832089086431912,105.704892968943,117.88787818517169
2008-01-22,27.63492839287453,40.64239918101918,30.326144452564595
2008-01-23,1.0001442747032188,11.559276278311087,2.094259585074347
2008-01-24,14.759762064802333,29.985115244454544,4.2636182606633595
2008-01-25,18.913459450967853,22.442080079331234,16.017344007214298
2008-01-26,0.0,7.221926178385618,3.8874253857979
2008-01-27,0.021056323456973974,6.0156416129688965,2.1825924678582918
2008-01-28,0.0,0.5735153774970133,0.0
2008-01-29,0.0,8.537401796329632,3.53063474351672
2008-01-30,0.0,71.68702007188158,84.28324049421884
2008-01-31,0.0,11.829366874789061,2.6530701145633087
2008-02-01,0.0,7.8637067633184055,19.600887119356702
2008-02-02,0.0,18.465611959163375,21.216140493771242
2008-02-03,0.0,45.025243148502156,32.52763639442138
2008-02-04,0.0,10.436859892291043,14.419516470991129
2008-02-05,18.603928712805693,8.730805102073159,6.492277845967659
2008-02-06,0.627046600290058,0.0,0.0
2008-02-07,0.03238101578877469,35.243846395741336,28.115332053206995
2008-02-08,10.458846838942723,48.177282959105,22.245132634113965
2008-02-09,0.0,13.971677116725756,23.51333901091852
2008-02-10,0.0,38.57087617052403,36.30841136937664
2008-02-11,0.0,450.70134484815037,394.208250344709
2008-02-12,1.115228622190414,405.0173562996002,174.6076644495357
2008-02-13,0.0,93.42101830644569,40.374903947404285
2008-02-14,0.0,475.2784233244041,329.3530515334808
2008-02-15,0.032153992359239686,107.32856669067867,84.00915632366969
2008-02-16,0.457247873904768,163.21291752389297,423.2245963806914
2008-02-17,3.209308628550023,297.31485974458843,247.73543850162
2008-02-18,0.0,148.07700580099356,231.13879851660025
2008-02-19,0.0,54.749495329121835,19.19874412441386
2008-02-20,0.025423286946987478,340.1459928369334,307.59946178166444
2008-02-21,0.3771156125054681,17.595221776736114,4.0058734108191425
2008-02-22,0.006633461570460077,4.780926276572608,12.392367417868563
2008-02-23,75.65031936511265,31.772214474885367,31.33343817754526
2008-02-24,9.865146074826416,55.26800117945012,101.35957482982113
2008-02-25,0.10544413345650144,119.05939938993794,124.59385947810793
2008-02-26,139.57154403194303,69.73742194797681,61.872444036433514
2008-02-27,11.25693729301352,9.526599090561094,2.2025776060295503
2008-02-28,35.978488161417054,44.07627865636774,40.693428722069434
2008-02-29,24.089719677251107,0.0,1.2652787661254818
2008-03-01,14.924088433341199,10.778450147907725,14.986867458909627
2008-03-02,1.7089945759591472,42.67049499933899,43.857039683073474
2008-03-03,30.6923910236079,36.722483819652446,56.04400294299927
2008-03-04,0.0,35.13380278334787,40.28753123501634
2008-03-05,0.0,423.1674670796149,155.8646940847706
2008-03-06,0.0,981.8509412923821,566.4514456231783
2008-03-07,0.0,132.46999223430169,104.69101564827972
2008-03-08,0.0,82.98006574909678,104.52801003634684
2008-03-09,0.04363327222136109,42.90459241603203,54.86608347317383
2008-03-10,29.728967526791035,54.45753385898152,8.16852943427685
2008-03-11,3.0528855519560425,17.213612175741687,9.757126076872902
2008-03-12,0.0,66.75527700793603,64.5322924123227
2008-03-13,0.0,78.76394921706128,53.78889487553569
2008-03-14,0.0,39.971541679894976,51.70133779052227
2008-03-15,0.013150342748311956,40.55773211090933,70.46696712901293
2008-03-16,0.0,16.218318011920918,19.707844913419176
2008-03-17,0.006149367677850808,67.09087124549355,125.511202596593
2008-03-18,0.0,7.751538223899872,12.518605566884544
2008-03-19,10.122111405794922,99.55660172413461,161.35868997348993
2008-03-20,2.061294136159231,19.53319309068763,11.418841629848401
2008-03-21,0.029789581326795114,57.25706584463007,160.8555582604693
2008-03-22,1.3492260423223994,39.8623941293347,24.252142275917386
2008-03-23,0.0,0.43176848426637915,1.564307335759003
2008-03-24,1.3911534488375936,67.25007753032942,30.523584898235733
2008-03-25,0.0,22.441171156087886,64.79373535071596
2008-03-26,0.393563856477262,21.95319079221944,105.5132455230586
2008-03-27,0.0,6.861491849535539,33.008339022135104
2008-03-28,0.0,42.75764506042239,129.9524550841354
2008-03-29,41.424253349080466,7.5499253235315615,30.68089683442771
2008-03-30,0.0,0.0,0.0
2008-03-31,39.863917269664775,0.0,0.0
2008-04-01,3.9366267860110558,88.71120021654212,67.98458797227329
2008-04-02,0.0,53.24279975137221,41.54016789186348
2008-04-03,0.0,28.966919194097102,26.709449614631986
