date,precipitation
2008-01-01,219.30130004882812
2008-01-02,138.05397033691406
2008-01-03,25.500091552734375
2008-01-04,0.0
2008-01-05,0.0
2008-01-06,117.42198944091797
2008-01-07,62.690521240234375
2008-01-08,104.90865325927734
2008-01-09,35.374046325683594
2008-01-10,124.15291595458984
2008-01-11,505.4818420410156
2008-01-12,44.714988708496094
2008-01-13,126.63587188720703
2008-01-14,21.686100006103516
2008-01-15,10.275971412658691
2008-01-16,69.46666717529297
2008-01-17,128.44288635253906
2008-01-18,186.6725616455078
2008-01-19,212.1429443359375
2008-01-20,250.41311645507812
2008-01-21,71.19381713867188
2008-01-22,15.856217384338379
2008-01-23,4.183905124664307
2008-01-24,25.366559982299805
2008-01-25,7.748499393463135
2008-01-26,14.103357315063477
2008-01-27,14.952814102172852
2008-01-28,0.0
2008-01-29,1.6477079391479492
2008-01-30,57.82575607299805
2008-01-31,2.201167345046997
2008-02-01,0.0
2008-02-02,15.399639129638672
2008-02-03,0.0
2008-02-04,5.783621788024902
2008-02-05,0.6801429986953735
2008-02-06,15.230704307556152
2008-02-07,58.59257125854492
2008-02-08,78.10687255859375
2008-02-09,94.316650390625
2008-02-10,39.22367858886719
2008-02-11,7.600682258605957
2008-02-12,157.47119140625
2008-02-13,106.41016387939453
2008-02-14,394.0601501464844
2008-02-15,67.4913558959961
2008-02-16,458.2433166503906
2008-02-17,595.3176879882812
2008-02-18,293.3003845214844
2008-02-19,107.45954132080078
2008-02-20,155.9569091796875
2008-02-21,317.2334899902344
2008-02-22,14.912347793579102
2008-02-23,44.419769287109375
2008-02-24,72.05445861816406
2008-02-25,274.7972412109375
2008-02-26,293.2112731933594
2008-02-27,286.728515625
2008-02-28,104.42979431152344
2008-02-29,16.012786865234375
2008-03-01,1.3956502676010132
2008-03-02,0.6377897262573242
2008-03-03,0.0
2008-03-04,89.48880767822266
2008-03-05,78.48119354248047
2008-03-06,213.40045166015625
2008-03-07,153.85052490234375
2008-03-08,276.9441223144531
2008-03-09,190.51036071777344
2008-03-10,107.57374572753906
2008-03-11,10.22779369354248
2008-03-12,45.52894973754883
2008-03-13,26.35883903503418
2008-03-14,74.03975677490234
2008-03-15,255.0177001953125
2008-03-16,13.669459342956543
2008-03-17,37.7605094909668
2008-03-18,0.5090885162353516
2008-03-19,0.0
2008-03-20,0.7689731121063232
2008-03-21,3.7213895320892334
2008-03-22,0.8380408883094788
2008-03-23,19.453210830688477
2008-03-24,1.328421711921692
2008-03-25,9.566720008850098
2008-03-26,0.21593399345874786
2008-03-27,9.62031078338623
2008-03-28,43.9168815612793
2008-03-29,0.0
2008-03-30,0.0
2008-03-31,8.372213363647461
2008-04-01,9.371077537536621
2008-04-02,56.6658821105957
2008-04-03,164.29652404785156
2008-04-04,88.7428207397461
2008-04-05,1.236419439315796
2008-04-06,25.299226760864258
2008-04-07,0.4008408188819885
2008-04-08,5.982150077819824
2008-04-09,0.0
2008-04-10,2.185572624206543
2008-04-11,19.561513900756836
2008-04-12,59.47730255126953
2008-04-13,300.43780517578125
2008-04-14,86.7585678100586
2008-04-15,8.125832557678223
2008-04-16,0.0
2008-04-17,14.270890235900879
2008-04-18,7.742948055267334
2008-04-19,34.67680358886719
2008-04-20,9.971382141113281
2008-04-21,0.22231577336788177
2008-04-22,10.030915260314941
2008-04-23,68.71791076660156
2008-04-24,119.37834930419922
2008-04-25,214.5113983154297
2008-04-26,75.09329223632812
2008-04-27,108.42704010009766
2008-04-28,19.570987701416016
2008-04-29,17.115970611572266
2008-04-30,4.801092147827148
2008-05-01,4.274193286895752
2008-05-02,207.78915405273438
2008-05-03,69.10983276367188
2008-05-04,50.901710510253906
2008-05-05,3.577958345413208
2008-05-06,78.85121154785156
2008-05-07,40.3745231628418
2008-05-08,86.47037506103516
2008-05-09,344.62335205078125
2008-05-10,7.1422648429870605
2008-05-11,174.41787719726562
2008-05-12,185.5563507080078
2008-05-13,274.2550354003906
2008-05-14,45.021881103515625
2008-05-15,6.64314603805542
2008-05-16,1.8001652956008911
2008-05-17,10.188685417175293
2008-05-18,11.72756576538086
2008-05-19,2.3344554901123047
2008-05-20,82.29212188720703
2008-05-21,5.719538688659668
2008-05-22,10.02326488494873
2008-05-23,149.1013946533203
2008-05-24,178.30555725097656
2008-05-25,89.12683868408203
2008-05-26,106.40065002441406
2008-05-27,130.83506774902344
2008-05-28,49.50569152832031
2008-05-29,3.5001509189605713
2008-05-30,10.9218111038208
2008-05-31,193.40740966796875
2008-06-01,28.27731704711914
2008-06-02,14.938640594482422
2008-06-03,14.847990036010742
2008-06-04,152.9784393310547
2008-06-05,42.67253875732422
2008-06-06,56.01643753051758
2008-06-07,5.909135818481445
2008-06-08,12.149370193481445
2008-06-09,3.199678421020508
2008-06-10,43.02101135253906
2008-06-11,12.600445747375488
2008-06-12,65.6104507446289
2008-06-13,0.7657921314239502
2008-06-14,45.880821228027344
2008-06-15,71.766845703125
2008-06-16,59.57661056518555
2008-06-17,9.987312316894531
2008-06-18,131.02406311035156
2008-06-19,440.8647155761719
2008-06-20,791.7891845703125
2008-06-21,133.31954956054688
2008-06-22,23.13778305053711
2008-06-23,0.0
2008-06-24,19.725831985473633
2008-06-25,7.076728820800781
2008-06-26,49.18777847290039
2008-06-27,14.292346000671387
2008-06-28,126.74669647216797
2008-06-29,119.50352478027344
2008-06-30,37.109375
2008-07-01,41.43356704711914
2008-07-02,134.1439208984375
2008-07-03,79.39069366455078
2008-07-04,2.7352135181427
2008-07-05,15.883389472961426
2008-07-06,17.081321716308594
