system:index,date,precipitation,.geo
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110209_RT,2011-02-09,71.50266648181122,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110210_RT,2011-02-10,1.9565639974041542,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110211_RT,2011-02-11,1.3288547323576951,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110212_RT,2011-02-12,0.44376190356649015,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110213_RT,2011-02-13,0.0982729440133614,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110214_RT,2011-02-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110215_RT,2011-02-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110216_RT,2011-02-16,0.1529743880825781,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110217_RT,2011-02-17,0.10466167363742751,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110218_RT,2011-02-18,0.20440757789013686,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110219_RT,2011-02-19,0.3745783315072153,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110220_RT,2011-02-20,1.2801481635467327,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110221_RT,2011-02-21,10.052576595343336,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110222_RT,2011-02-22,0.5139089665888115,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110223_RT,2011-02-23,0.968899075168671,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110224_RT,2011-02-24,15.026751375399842,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110225_RT,2011-02-25,86.48922993167521,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110226_RT,2011-02-26,1.2374491748165135,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110227_RT,2011-02-27,4.2423676150810605,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110228_RT,2011-02-28,53.1371319642342,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110301_RT,2011-03-01,0.159156005875333,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110302_RT,2011-03-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110303_RT,2011-03-03,0.14369902872621323,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110304_RT,2011-03-04,1.0509934812893753,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110305_RT,2011-03-05,11.698153588601844,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110306_RT,2011-03-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110307_RT,2011-03-07,0.12889952793026635,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110308_RT,2011-03-08,55.19101421122503,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110309_RT,2011-03-09,59.89890581164711,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110310_RT,2011-03-10,1.345103523793599,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110311_RT,2011-03-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110312_RT,2011-03-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110313_RT,2011-03-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110314_RT,2011-03-14,46.21832052495212,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110315_RT,2011-03-15,9.964429243669576,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110316_RT,2011-03-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110317_RT,2011-03-17,0.002640905479144742,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110318_RT,2011-03-18,8.182478177646857E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110319_RT,2011-03-19,0.3454758900142641,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110320_RT,2011-03-20,66.12873837146577,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110321_RT,2011-03-21,1.283761104230313,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110322_RT,2011-03-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110323_RT,2011-03-23,2.712382833569998,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110324_RT,2011-03-24,0.010032352979628054,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110325_RT,2011-03-25,10.091214465162926,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110326_RT,2011-03-26,10.619144853152713,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110327_RT,2011-03-27,13.084668000775403,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110328_RT,2011-03-28,11.986789012989641,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110329_RT,2011-03-29,4.898299365017238,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110330_RT,2011-03-30,15.114807490121457,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110331_RT,2011-03-31,6.970838204551298,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110401_RT,2011-04-01,12.73557691546493,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110402_RT,2011-04-02,0.6009542144327956,"{""type"":""MultiPoint"",""coordinates"":[]}"
PRCP_CU_GAUGE_V1_0GLB_0_50deg_lnx_20110403_RT,2011-04-03,0.03111658447004482,"{""type"":""MultiPoint"",""coordinates"":[]}"
